Test,Animal,Sex,Treatment,Day,Trial,Duration,Distance,Mean speed
1,1,0,1,2,1,44.6,4.237,0.095
2,1,0,1,2,2,31,2.762,0.089
3,1,0,1,2,3,18.3,2.044,0.112
4,1,0,1,2,4,60,4.914,0.082
5,2,0,1,2,1,36,3.661,0.102
6,2,0,1,2,2,11.2,1.168,0.105
7,2,0,1,2,3,60,5.008,0.083
8,2,0,1,2,4,20.1,2.085,0.104
9,3,0,1,2,1,60,7.764,0.129
10,3,0,1,2,2,7.6,1.318,0.173
11,3,0,1,2,3,24.3,2.908,0.12
12,3,0,1,2,4,52.5,4.003,0.076
13,4,0,1,2,1,60,7.185,0.12
14,4,0,1,2,2,5.4,0.679,0.127
15,4,0,1,2,3,38.1,4.835,0.127
16,4,0,1,2,4,60,5.215,0.087
17,5,0,1,2,1,37.3,3.516,0.094
18,5,0,1,2,2,60,4.34,0.072
19,5,0,1,2,3,60,1.291,0.022
20,5,0,1,2,4,33.6,1.12,0.033
21,6,0,1,2,1,60,11.182,0.186
22,6,0,1,2,2,31,4.924,0.159
23,6,0,1,2,3,23.5,1.957,0.083
24,6,0,1,2,4,60,2.385,0.04
25,7,0,0,2,1,44.7,2.938,0.066
26,7,0,0,2,2,60,3.584,0.06
27,7,0,0,2,3,60,0.92,0.015
28,7,0,0,2,4,60,1.4,0.023
29,8,0,0,2,1,60,8.315,0.139
30,8,0,0,2,2,32.8,4.765,0.145
31,8,0,0,2,3,60,4,0.067
32,8,0,0,2,4,60,3.361,0.056
33,9,0,0,2,1,28,5.006,0.179
34,9,0,0,2,2,7.1,0.746,0.105
35,9,0,0,2,3,60,8.899,0.148
36,9,0,0,2,4,60,6.538,0.109
37,10,0,0,2,1,60,9.962,0.166
38,10,0,0,2,2,60,6.219,0.104
39,10,0,0,2,3,60,3.238,0.054
40,10,0,0,2,4,60,2.199,0.037
41,11,0,1,2,1,60,5.663,0.094
42,11,0,1,2,2,60,4.976,0.083
43,11,0,1,2,3,60,2.787,0.046
44,11,0,1,2,4,60,2.368,0.039
45,12,0,1,2,1,60,7.722,0.129
46,12,0,1,2,2,60,7.82,0.13
47,12,0,1,2,3,60,6.579,0.11
48,12,0,1,2,4,34.9,2.998,0.086
49,13,0,1,2,1,60,9.354,0.156
50,13,0,1,2,2,60,8.208,0.137
51,13,0,1,2,3,60,6.659,0.111
52,13,0,1,2,4,60,4.713,0.079
53,14,0,1,2,1,47.5,6.989,0.147
54,14,0,1,2,2,27.6,3.575,0.13
55,14,0,1,2,3,8.9,1.098,0.124
56,14,0,1,2,4,60,4.067,0.068
57,15,0,1,2,1,60,3.77,0.063
58,15,0,1,2,2,60,3.506,0.058
59,15,0,1,2,3,60,3.275,0.055
60,15,0,1,2,4,60,2.96,0.049
61,16,0,1,2,1,60,2.134,0.036
62,16,0,1,2,2,60,1.335,0.022
63,16,0,1,2,3,60,1.623,0.027
64,16,0,1,2,4,60,1.14,0.019
65,17,0,0,2,1,60,6.902,0.115
66,17,0,0,2,2,14,1.088,0.078
67,17,0,0,2,3,60,5.185,0.086
68,17,0,0,2,4,60,3.449,0.057
69,18,0,0,2,1,60,5.958,0.099
70,18,0,0,2,2,39.5,4.967,0.126
71,18,0,0,2,3,60,4.136,0.069
72,18,0,0,2,4,60,3.791,0.063
73,19,0,0,2,1,15.2,2.553,0.168
74,19,0,0,2,2,3.2,0.447,0.142
75,19,0,0,2,3,32.7,4.421,0.135
76,19,0,0,2,4,47,5.341,0.114
77,20,0,0,2,1,60,9.617,0.16
78,20,0,0,2,2,60,8.511,0.142
79,20,0,0,2,3,17.2,1.698,0.099
80,20,0,0,2,4,7.1,0.589,0.084
81,21,0,0,2,1,51.1,5.263,0.103
82,21,0,0,2,2,60,5.317,0.089
83,21,0,0,2,3,60,5.191,0.087
84,21,0,0,2,4,60,2.232,0.037
85,22,0,0,2,1,60,5.996,0.1
86,22,0,0,2,2,60,5.683,0.095
87,22,0,0,2,3,60,3.585,0.06
88,22,0,0,2,4,60,5.81,0.097
89,1,0,1,3,1,19.7,2.224,0.113
90,1,0,1,3,2,15.7,1.934,0.123
91,1,0,1,3,3,30.9,3.332,0.108
92,1,0,1,3,4,3.1,0.281,0.09
93,2,0,1,3,1,29.7,2.149,0.072
94,2,0,1,3,2,60,7.462,0.124
95,2,0,1,3,3,32.4,3.366,0.104
96,2,0,1,3,4,60,6.22,0.104
97,3,0,1,3,1,21.6,2.494,0.116
98,3,0,1,3,2,8.6,1.217,0.142
99,3,0,1,3,3,4.7,0.704,0.149
100,3,0,1,3,4,28.1,2.908,0.104
101,4,0,1,3,1,44.3,5.404,0.122
102,4,0,1,3,2,60,5.052,0.084
103,4,0,1,3,3,12.7,1.28,0.101
104,4,0,1,3,4,5.6,0.618,0.111
105,5,0,1,3,1,60,5.705,0.095
106,5,0,1,3,2,60,2.713,0.045
107,5,0,1,3,3,60,1.468,0.024
108,5,0,1,3,4,60,2.231,0.037
109,6,0,1,3,1,60,8.061,0.134
110,6,0,1,3,2,60,4.209,0.07
111,6,0,1,3,3,60,3.097,0.052
112,6,0,1,3,4,60,2.907,0.048
113,7,0,0,3,1,60,2.293,0.038
114,7,0,0,3,2,60,1.181,0.02
115,7,0,0,3,3,60,1.926,0.032
116,7,0,0,3,4,5.5,0.597,0.108
117,8,0,0,3,1,53.1,3.869,0.073
118,8,0,0,3,2,60,0.686,0.011
119,8,0,0,3,3,17.1,1.326,0.078
120,8,0,0,3,4,60,0.606,0.01
121,9,0,0,3,1,60,4.718,0.079
122,9,0,0,3,2,40.2,3.689,0.092
123,9,0,0,3,3,41.3,2.24,0.054
124,9,0,0,3,4,5.9,0.495,0.085
125,10,0,0,3,1,4.8,0.681,0.141
126,10,0,0,3,2,40.6,6.699,0.165
127,10,0,0,3,3,21.6,2.784,0.129
128,10,0,0,3,4,20.5,2.644,0.129
129,11,0,1,3,1,60,5.25,0.088
130,11,0,1,3,2,7.1,0.511,0.072
131,11,0,1,3,3,44.3,2.233,0.05
132,11,0,1,3,4,60,2.696,0.045
133,12,0,1,3,1,21.7,2.463,0.113
134,12,0,1,3,2,7.1,0.69,0.097
135,12,0,1,3,3,15.4,2.185,0.142
136,12,0,1,3,4,60,8.135,0.136
137,13,0,1,3,1,60,9.431,0.157
138,13,0,1,3,2,60,7.757,0.129
139,13,0,1,3,3,60,5.673,0.095
140,13,0,1,3,4,60,5.127,0.085
141,14,0,1,3,1,11.4,0.677,0.059
142,14,0,1,3,2,13.7,1.973,0.144
143,14,0,1,3,3,39.6,6.042,0.152
144,14,0,1,3,4,11.1,0.996,0.09
145,15,0,1,3,1,38.8,1.814,0.047
146,15,0,1,3,2,60,1.303,0.022
147,15,0,1,3,3,60,0.88,0.015
148,15,0,1,3,4,60,1.167,0.019
149,16,0,1,3,1,60,1.077,0.018
150,16,0,1,3,2,60,0.856,0.014
151,16,0,1,3,3,60,0.986,0.016
152,16,0,1,3,4,60,1.23,0.02
153,17,0,0,3,1,60,8.159,0.136
154,17,0,0,3,2,60,2.395,0.04
155,17,0,0,3,3,49,3.755,0.077
156,17,0,0,3,4,60,4.073,0.068
157,18,0,0,3,1,60,5.368,0.089
158,18,0,0,3,2,60,6.115,0.102
159,18,0,0,3,3,11.5,1.298,0.113
160,18,0,0,3,4,60,2.425,0.04
161,19,0,0,3,1,12.6,1.608,0.128
162,19,0,0,3,2,60,8.693,0.145
163,19,0,0,3,3,47.1,5.516,0.117
164,19,0,0,3,4,60,5.402,0.09
165,20,0,0,3,1,35.1,3.809,0.109
166,20,0,0,3,2,12.6,2.088,0.166
167,20,0,0,3,3,17.9,0,0
168,20,0,0,3,4,58.2,7.535,0.13
169,21,0,0,3,1,60,6.123,0.102
170,21,0,0,3,2,60,5.269,0.088
171,21,0,0,3,3,60,1.494,0.025
172,21,0,0,3,4,60,2.231,0.037
173,22,0,0,3,1,60,4.092,0.068
174,22,0,0,3,2,60,1.387,0.023
175,22,0,0,3,3,60,3.408,0.057
176,22,0,0,3,4,60,3.971,0.066
177,1,0,1,4,1,36.7,4.098,0.112
178,1,0,1,4,2,4.3,0.337,0.079
179,1,0,1,4,3,30.7,4.093,0.133
180,1,0,1,4,4,60,6.465,0.108
181,2,0,1,4,1,45.9,6.712,0.146
182,2,0,1,4,2,60,6.833,0.114
183,2,0,1,4,3,60,4.01,0.067
184,2,0,1,4,4,24.3,2.116,0.087
185,3,0,1,4,1,60,7.409,0.123
186,3,0,1,4,2,14.2,2.133,0.15
187,3,0,1,4,3,60,8.306,0.138
188,3,0,1,4,4,54.5,2.444,0.045
189,4,0,1,4,1,16.5,2.071,0.125
190,4,0,1,4,2,60,9.946,0.166
191,4,0,1,4,3,18.2,2.555,0.141
192,4,0,1,4,4,60,5.256,0.088
193,5,0,1,4,1,60,2.328,0.039
194,5,0,1,4,2,60,1.824,0.03
195,5,0,1,4,3,33.5,3.626,0.108
196,5,0,1,4,4,60,7.034,0.117
197,6,0,1,4,1,60,4.882,0.081
198,6,0,1,4,2,60,0.812,0.014
199,6,0,1,4,3,60,3.209,0.053
200,6,0,1,4,4,60,3.031,0.051
201,7,0,0,4,1,36.1,1.689,0.047
202,7,0,0,4,2,60,0.952,0.016
203,7,0,0,4,3,60,1.084,0.018
204,7,0,0,4,4,60,0.87,0.015
205,8,0,0,4,1,58.4,4.492,0.077
